match_id,group,home_team,away_team,date_utc,venue
1,A,Mexico,South Africa,2026-06-11T19:00:00Z,"Estadio Azteca, Mexico City"
2,A,South Korea,UEFA Playoff D,2026-06-12T02:00:00Z,"Estadio Akron, Guadalajara"
3,B,Canada,UEFA Playoff A,2026-06-12T19:00:00Z,"BMO Field, Toronto"
4,D,USA,Paraguay,2026-06-13T01:00:00Z,"SoFi Stadium, Los Angeles"
5,D,Australia,UEFA Playoff C,2026-06-13T04:00:00Z,"BC Place, Vancouver"
6,B,Qatar,Switzerland,2026-06-13T19:00:00Z,"Levi's Stadium, Santa Clara"
7,C,Brazil,Morocco,2026-06-13T22:00:00Z,"MetLife Stadium, East Rutherford"
8,C,Haiti,Scotland,2026-06-14T01:00:00Z,"Gillette Stadium, Boston"
9,E,Germany,Curaçao,2026-06-14T17:00:00Z,"NRG Stadium, Houston"
10,F,Netherlands,Japan,2026-06-14T20:00:00Z,"AT&T Stadium, Dallas"
11,E,Côte d'Ivoire,Ecuador,2026-06-14T23:00:00Z,"Lincoln Financial Field, Philadelphia"
12,F,UEFA Playoff B,Tunisia,2026-06-15T02:00:00Z,"Estadio BBVA, Monterrey"
13,H,Spain,Cabo Verde,2026-06-15T16:00:00Z,"Mercedes-Benz Stadium, Atlanta"
14,G,Belgium,Egypt,2026-06-15T19:00:00Z,"Lumen Field, Seattle"
15,H,Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,"Hard Rock Stadium, Miami"
16,G,Iran,New Zealand,2026-06-16T01:00:00Z,"SoFi Stadium, Los Angeles"
17,J,Austria,Jordan,2026-06-16T04:00:00Z,"Levi's Stadium, Santa Clara"
18,I,France,Senegal,2026-06-16T19:00:00Z,"MetLife Stadium, East Rutherford"
19,I,FIFA Playoff 2,Norway,2026-06-16T22:00:00Z,"Gillette Stadium, Boston"
20,J,Argentina,Algeria,2026-06-17T01:00:00Z,"GEHA Field at Arrowhead Stadium, Kansas City"
21,K,Portugal,FIFA Playoff 1,2026-06-17T17:00:00Z,"NRG Stadium, Houston"
22,L,England,Croatia,2026-06-17T20:00:00Z,"AT&T Stadium, Dallas"
23,L,Ghana,Panama,2026-06-17T23:00:00Z,"BMO Field, Toronto"
24,K,Uzbekistan,Colombia,2026-06-18T02:00:00Z,"Estadio Azteca, Mexico City"
25,A,UEFA Playoff D,South Africa,2026-06-18T16:00:00Z,"Mercedes-Benz Stadium, Atlanta"
26,B,Switzerland,UEFA Playoff A,2026-06-18T19:00:00Z,"SoFi Stadium, Los Angeles"
27,B,Canada,Qatar,2026-06-18T22:00:00Z,"BC Place, Vancouver"
28,A,Mexico,South Korea,2026-06-19T01:00:00Z,"Estadio Akron, Guadalajara"
29,D,UEFA Playoff C,Paraguay,2026-06-19T04:00:00Z,"Levi's Stadium, Santa Clara"
30,D,USA,Australia,2026-06-19T19:00:00Z,"Lumen Field, Seattle"
31,C,Scotland,Morocco,2026-06-19T22:00:00Z,"Gillette Stadium, Boston"
32,C,Brazil,Haiti,2026-06-20T01:00:00Z,"Lincoln Financial Field, Philadelphia"
33,F,Tunisia,Japan,2026-06-20T04:00:00Z,"Estadio BBVA, Monterrey"
34,F,Netherlands,UEFA Playoff B,2026-06-20T17:00:00Z,"NRG Stadium, Houston"
35,E,Germany,Côte d'Ivoire,2026-06-20T20:00:00Z,"BMO Field, Toronto"
36,E,Ecuador,Curaçao,2026-06-21T00:00:00Z,"GEHA Field at Arrowhead Stadium, Kansas City"
37,H,Spain,Saudi Arabia,2026-06-21T16:00:00Z,"Mercedes-Benz Stadium, Atlanta"
38,G,Belgium,Iran,2026-06-21T19:00:00Z,"SoFi Stadium, Los Angeles"
39,H,Uruguay,Cabo Verde,2026-06-21T22:00:00Z,"Hard Rock Stadium, Miami"
40,G,New Zealand,Egypt,2026-06-22T01:00:00Z,"BC Place, Vancouver"
41,J,Argentina,Austria,2026-06-22T17:00:00Z,"AT&T Stadium, Dallas"
42,I,France,FIFA Playoff 2,2026-06-22T21:00:00Z,"Lincoln Financial Field, Philadelphia"
43,I,Norway,Senegal,2026-06-23T00:00:00Z,"MetLife Stadium, East Rutherford"
44,J,Jordan,Algeria,2026-06-23T03:00:00Z,"Levi's Stadium, Santa Clara"
45,K,Portugal,Uzbekistan,2026-06-23T17:00:00Z,"NRG Stadium, Houston"
46,L,England,Ghana,2026-06-23T20:00:00Z,"Gillette Stadium, Boston"
47,L,Panama,Croatia,2026-06-23T23:00:00Z,"BMO Field, Toronto"
48,K,Colombia,FIFA Playoff 1,2026-06-24T02:00:00Z,"Estadio Akron, Guadalajara"
49,B,Switzerland,Canada,2026-06-24T19:00:00Z,"BC Place, Vancouver"
50,B,UEFA Playoff A,Qatar,2026-06-24T19:00:00Z,"Lumen Field, Seattle"
51,C,Scotland,Brazil,2026-06-24T22:00:00Z,"Hard Rock Stadium, Miami"
52,C,Morocco,Haiti,2026-06-24T22:00:00Z,"Mercedes-Benz Stadium, Atlanta"
53,A,UEFA Playoff D,Mexico,2026-06-25T01:00:00Z,"Estadio Azteca, Mexico City"
54,A,South Africa,South Korea,2026-06-25T01:00:00Z,"Estadio BBVA, Monterrey"
55,E,Curaçao,Côte d'Ivoire,2026-06-25T20:00:00Z,"Lincoln Financial Field, Philadelphia"
56,E,Ecuador,Germany,2026-06-25T20:00:00Z,"MetLife Stadium, East Rutherford"
57,F,Japan,UEFA Playoff B,2026-06-25T23:00:00Z,"AT&T Stadium, Dallas"
58,F,Tunisia,Netherlands,2026-06-25T23:00:00Z,"GEHA Field at Arrowhead Stadium, Kansas City"
59,D,USA,UEFA Playoff C,2026-06-26T02:00:00Z,"SoFi Stadium, Los Angeles"
60,D,Paraguay,Australia,2026-06-26T02:00:00Z,"Levi's Stadium, Santa Clara"
61,I,Norway,France,2026-06-26T19:00:00Z,"Gillette Stadium, Boston"
62,I,Senegal,FIFA Playoff 2,2026-06-26T19:00:00Z,"BMO Field, Toronto"
63,H,Cabo Verde,Saudi Arabia,2026-06-27T00:00:00Z,"NRG Stadium, Houston"
64,H,Uruguay,Spain,2026-06-27T00:00:00Z,"Estadio Akron, Guadalajara"
65,G,Egypt,Iran,2026-06-27T03:00:00Z,"Lumen Field, Seattle"
66,G,New Zealand,Belgium,2026-06-27T03:00:00Z,"BC Place, Vancouver"
67,L,Panama,England,2026-06-27T21:00:00Z,"MetLife Stadium, East Rutherford"
68,L,Croatia,Ghana,2026-06-27T21:00:00Z,"Lincoln Financial Field, Philadelphia"
69,K,Colombia,Portugal,2026-06-27T23:30:00Z,"Hard Rock Stadium, Miami"
70,K,FIFA Playoff 1,Uzbekistan,2026-06-27T23:30:00Z,"Mercedes-Benz Stadium, Atlanta"
71,J,Algeria,Austria,2026-06-28T02:00:00Z,"GEHA Field at Arrowhead Stadium, Kansas City"
72,J,Jordan,Argentina,2026-06-28T02:00:00Z,"AT&T Stadium, Dallas"
